video_id,video_length_sec,original_bitrate_kbps,target_resolution,transcoding_time_sec,vmaf_score
vid0069,5.15,13150.5,1080,9.8,100.0
vid0070,5.8,13883.9,144,1.7,10.0
vid0070,5.8,13883.9,240,3.88,25.38
vid0070,5.8,13883.9,288,4.24,38.0
vid0070,5.8,13883.9,360,4.59,50.62
vid0070,5.8,13883.9,480,6.65,65.64
vid0070,5.8,13883.9,720,8.91,81.08
vid0070,5.8,13883.9,1080,11.14,100.0
vid0071,6.2,12820.6,144,1.8,10.0
vid0071,6.2,12820.6,240,4.06,25.67
vid0071,6.2,12820.6,288,4.47,38.56
vid0071,6.2,12820.6,360,4.88,51.46
vid0071,6.2,12820.6,480,6.91,66.18
vid0071,6.2,12820.6,720,9.29,81.54
vid0071,6.2,12820.6,1080,11.61,100.0
vid0072,6.0,11942.8,144,1.79,10.0
vid0072,6.0,11942.8,240,3.94,24.3
vid0072,6.0,11942.8,288,4.34,37.06
vid0072,6.0,11942.8,360,4.73,49.82
vid0072,6.0,11942.8,480,6.77,64.57
vid0072,6.0,11942.8,720,9.07,80.4
vid0072,6.0,11942.8,1080,11.34,100.0
vid0073,9.183,11277.6,144,2.55,10.0
vid0073,9.183,11277.6,240,6.04,24.79
vid0073,9.183,11277.6,288,6.58,36.46
vid0073,9.183,11277.6,360,7.12,48.12
vid0073,9.183,11277.6,480,10.36,62.28
vid0073,9.183,11277.6,720,14.04,78.36
vid0073,9.183,11277.6,1080,17.55,100.0
vid0074,5.35,13187.0,144,1.59,10.0
vid0074,5.35,13187.0,240,3.6,24.9
vid0074,5.35,13187.0,288,3.96,36.72
vid0074,5.35,13187.0,360,4.32,48.55
vid0074,5.35,13187.0,480,6.26,62.57
vid0074,5.35,13187.0,720,8.45,78.39
vid0074,5.35,13187.0,1080,10.56,100.0
vid0075,6.35,10182.1,144,1.76,10.0
vid0075,6.35,10182.1,240,4.08,24.73
vid0075,6.35,10182.1,288,4.49,37.12
vid0075,6.35,10182.1,360,4.89,49.52
vid0075,6.35,10182.1,480,6.85,63.14
vid0075,6.35,10182.1,720,8.93,78.58
vid0075,6.35,10182.1,1080,11.16,100.0
vid0076,6.783,13045.4,144,1.92,10.0
vid0076,6.783,13045.4,240,4.42,26.84
vid0076,6.783,13045.4,288,4.78,38.78
vid0076,6.783,13045.4,360,5.14,50.71
vid0076,6.783,13045.4,480,7.34,64.11
vid0076,6.783,13045.4,720,9.65,79.0
vid0076,6.783,13045.4,1080,12.06,100.0
vid0077,6.583,13207.0,144,1.92,10.0
vid0077,6.583,13207.0,240,4.25,25.23
vid0077,6.583,13207.0,288,4.67,38.08
vid0077,6.583,13207.0,360,5.09,50.94
vid0077,6.583,13207.0,480,7.22,65.69
vid0077,6.583,13207.0,720,9.57,81.23
vid0077,6.583,13207.0,1080,11.96,100.0
vid0078,6.533,12937.2,144,1.89,10.04
vid0078,6.533,12937.2,240,4.35,26.03
vid0078,6.533,12937.2,288,4.74,39.35
vid0078,6.533,12937.2,360,5.12,52.67
vid0078,6.533,12937.2,480,7.38,68.28
vid0078,6.533,12937.2,720,9.97,83.07
vid0078,6.533,12937.2,1080,12.46,100.0
vid0079,9.15,11151.1,144,2.5,10.0
vid0079,9.15,11151.1,240,5.84,29.91
vid0079,9.15,11151.1,288,6.28,41.91
vid0079,9.15,11151.1,360,6.71,53.92
vid0079,9.15,11151.1,480,9.5,68.33
vid0079,9.15,11151.1,720,12.15,82.7
vid0079,9.15,11151.1,1080,15.19,100.0
vid0080,8.183,10792.4,144,2.19,10.0
vid0080,8.183,10792.4,240,5.12,30.57
vid0080,8.183,10792.4,288,5.55,42.29
vid0080,8.183,10792.4,360,5.97,54.01
vid0080,8.183,10792.4,480,8.36,68.27
vid0080,8.183,10792.4,720,10.5,82.44
vid0080,8.183,10792.4,1080,13.12,100.0
vid0081,5.6,10718.9,144,1.57,10.02
vid0081,5.6,10718.9,240,3.59,30.64
vid0081,5.6,10718.9,288,3.86,42.73
vid0081,5.6,10718.9,360,4.13,54.82
vid0081,5.6,10718.9,480,5.78,68.85
vid0081,5.6,10718.9,720,7.38,82.96
vid0081,5.6,10718.9,1080,9.22,100.0
vid0082,8.467,11489.7,144,2.4,10.0
vid0082,8.467,11489.7,240,5.57,27.81
vid0082,8.467,11489.7,288,6.3,40.11
